,id,5w1h
0,1264952,"누가: 영화 '밀수'의 제작진과 배급사
언제: 29일
어디서: 한국
어떻게: 100만 관객 돌파를 기록한 영화 '밀수'의 성공은 재미있는 스토리와 강력한 연출, 그리고 배우들의 연기력으로 인한 평가와 관객들의 입소문으로 인해 일어났음
왜: 100만 관객을 돌파한 영화 '밀수'의 성공은 류승완 감독의 감성적이고 흥미로운 이야기와 전문적인 연기력을 보여준 배우들의 연기, 그리고 마케팅 전략의 효과 등 다양한 요소들이 결합하여 성공한 것으로 판단됨"
1,1916510,"누가: 류승완 감독
언제: 날
어디서: 한국
어떻게: 류승완 감독의 인기, 배우 김혜수와 염정아의 매력적인 연기, 그리고 해양 범죄를 다룬 독특한 스토리가 관객들의 관심을 끌었음
왜: 첫째, 류승완 감독의 강력한 감독력과 전작들의 성공적인 흥행 이력이 관객들의 관심을 끌었음"
2,12003135,"누가: 누구
언제: 알 수 없음
어디서: 장소
어떻게: 육하원칙을 사용하여 일어났어
왜: ""null""이 일어난 이유에 대한 단답형 대답은 제공할 수 없음"
3,752421,"누가: 미국, 한국, 일본
언제: 8월 18일
어디서: 캠프 데이비드
어떻게: 백악관에서 개최됐어
왜: 한미일 정상회의는 한국, 미국, 일본 정상들이 모여 협력과 대화를 강화하고, 지역 안정과 번영을 위한 공동 노력을 추진하기 위해"
4,4037857,"누가: 강예슬
언제: 29일
어디서: 각종 음원사이트
어떻게: 강예슬이 29일 오후 6시에 새 싱글 '목련'을 각종 음원사이트를 통해 발매함
왜: 사랑의 그리움을 표현하기 위해"
5,14135506,"누가: 주체
언제: 해당 질문이 없으므로 답변할 수 없음
어디서: 그 정보가 없어요
어떻게: 육하원칙에 대한 짧은 단답형으로는 ""원인과 결과""
왜: 이유를 더 자세히 설명해주세요"
6,4880715,"누가: 오에스피와 바우와우코리아
언제: 미리 알려드리지 않았으므로, 정확한 날짜를 알 수 없음
어디서: 북미
어떻게: 퍼스카와 유통 협업으로 가능해졌어
왜: 미국 현지 업체인 퍼스카와 유통 협업을 통해 대형 박람회인 슈퍼주에 참가할 수 있었기 때문"
7,5058170,"누가: 신원
언제: 전날 오전
어디서: 포항시 남구 호미곶면 강사리 해안
어떻게: 정확한 사건 경위는 알 수 없지만, 경북 포항시 앞바다에서 신원 불명의 부패한 시신이 발견됨
왜: 파악되지 않은 신원이기 때문에 정확한 사건 원인은 아직 파악되지 않았음"
8,4926252,"누가: 이재명 대표
언제: 2017년
어디서: 서울
어떻게: 이는 현재 검찰이 수사 중인 사안
왜: 백현동 특혜 의혹 사건에 대한 자세한 내용을 알 수 있을까요?"
9,19383,"누가: 사례자 (문장말고 단답!)
언제: 개개인
어디서: 근육의 다량 증가를 위해 단백질을 과다 섭취한 경우에 건강 문제가 발생할 수 있음
어떻게: 신장에 부담을 주고, 신장 결석, 신장 기능 저하, 골음
왜: 단백질 과다 섭취로 인한 건강 문제는 신장 부담, 비타민 및 미네랄의 부족, 소화 장애, 대사 부작용 등이 있음"
10,652632,"누가: 산다라박
언제: 일
어디서: 라디오스타
어떻게: 산다라박의 전 남자친구 언급은 라디오스타 방송 중에 나왔음
왜: 일어난 이유는 산다라박이 라디오스타에 출연하여 투애니원 시절을 회상하면서 전 남자친구에 대해 언급함"
11,6994350,"누가: 이그제큐티브 객실 투숙객
언제: 월말까지 제공됨
어디서: 한국
어떻게: 웨스틴 조선 서울은 한국적 정서를 담은 가을 패키지 로컬 딜라이트를 월일까지 선보인음
왜: 웨스틴 조선 서울은 한국적 정서를 담은 가을 패키지 로컬 딜라이트를 선보이기 위해"
12,6994379,"누가: 자연
언제: 지난 월 말부터 버들마편초가 만개함
어디서: 신안 반월도 꽃단지
어떻게: 봄부터 가을까지 개화 기간이 긴 버들마편초가 월 초 가지치기를 한 후 다시 새순이 올라와서 만개한 것
왜: 봄부터 가을까지 개화 기간이 긴 버들마편초가 퍼플섬의 조건에 맞아 꽃단지에 만개한 것"
13,14135574,"누가: 공군
언제: 서울
어디서: 서울
어떻게: 선발 과정에는 신체검사, 항공지식평가, 항공안전평가, 심리인성검사 등이 포함됨
왜: 국민조종사는 국방력 강화와 항공기 운영 능력 향상을 위해"
14,4044789,#NAME?
15,6994294,#NAME?
16,6994396,#NAME?
17,6994297,#NAME?
18,4044759,#NAME?
19,1628471,#NAME?
20,70400,#NAME?
21,971557,"- 누가: 김동량
- 언제: 2021년 7월 1일
- 어디서: 삼성
- 어떻게: 초청 혹은 계약으로 입단함
- 왜: 팀에 필요한 선수로서 가입함"
22,3295178,"- 누가: 기쿠치 유세이
- 언제: 지난 주일
- 어디서: 토론토 로저스센터
- 어떻게: 토론토 기쿠치 유세이는 경기 연속으로 퀄리티스타트(6이닝 이상 자책점 이하)를 이어갔음
- 왜: 경기 연속 실점 이하 호투가 이어진 이유는 기쿠치 유세이의 훌륭한 투구 기술과 집중력, 그리고 상대 팀인 필라델피아 필리스의 타자들을 잘 저지른 것에 있음"
23,4926215,#NAME?
24,6994240,#NAME?
25,766728,"- 누가: 불이야
- 언제: 2019년 7월
- 어디서: 마우이섬
- 어떻게: 하와이 산불의 경우 정확한 발화 원인은 파악되지 않았으나 일부 산불은 인간의 활동으로 인해 발생한 것으로 추정됨
- 왜: 정확한 원인은 아직 파악되지 않았지만, 일부 보고에 따르면 산불은 인간의 고의적인 방화, 건조한 기후 조건, 자연적인 산불 발생 등의 요인으로 인해 발생한 것으로 알려져 있음"
26,3782409,"- 누가: 자연적인 원인으로 인한 산불
- 언제: 미국 동부시간 기준으로 2021년 7월 13일
- 어디서: 오아후 섬의 폴리예 화산 근처
- 어떻게: 미국 기상청에 따르면, 하와이 산불은 연방 야생동물 국립공원에서 시작
- 왜: 산불의 원인은 아직 정확히 밝혀지지 않았음"
27,3515671,#NAME?
28,3803161,"- 누가: 송전선
- 언제: 2019년 7월 12일
- 어디서: 하와이의 카헐루이 지역
- 어떻게: 강풍에 끊어진 송전선에서 불꽃이 튀어 산불이 시작됨
- 왜: 강풍에 끊어진 송전선에서 불꽃이 튀어나와 산불이 발생함"
29,3845835,#NAME?
30,11547200,"- 누가: 자연환경(기후, 대기 등)과 천체의 운동
- 언제: 오늘일
- 어디서: 경기 내륙, 강원 내륙, 충청, 전라도 서부, 전라도 동부, 경상도
- 어떻게: 기상조건에 의해 일어났어
- 왜: 기상 현상으로 인해 날씨가 일어났음"
31,614870,"- 누가: 기상청
- 언제: 아침 6시
- 어디서: 기상청
- 어떻게: 기상 예보는 기상청이 관측 데이터를 수집하고 분석하여 예측 모델을 통해 산출됨
- 왜: 무더위와 열대야는 기후변화로 인한 기상 패턴 변화로 인해 발생"
32,14135346,#NAME?
33,3845464,#NAME?
34,924762,#NAME?
35,3761188,#NAME?
36,142955,"- 누가: 각자의 능력과 노력
- 언제: 2021년 현재까지의 정보이며, 특정한 경기일
- 어디서: 메이저리그
- 어떻게: 김하성: 주춤
아쿠냐 주니어: 안타 기록
- 왜: 타자들의 실력과 컨디션, 상대 투수의 피칭 등의 요인에 의해 경기 결과가 일어났음"
37,446098,#NAME?
38,250226,#NAME?
39,3295210,#NAME?
40,70401,#NAME?
41,4227893,#NAME?
42,3782413,"- 누가: 파악되지 않았음
- 언제: 2021년 10월 19일
- 어디서: 신림동
- 어떻게: 일본에서 유학 중이던 여성이 신림동에서 술에 취해있는 상태로 가해자에게 성폭행을 당함
- 왜: 정확한 사건 원인은 아직 파악되지 않았음"
43,12035037,"- 누가: 이정후와 원종현
- 언제: 2021년
- 어디서: 발목 부상, 원종현 선수
- 어떻게: 이정후는 발목 부상, 원종현은 팔꿈치 부상으로 인해 부상을 입었음
- 왜: 원종현 선수의 팔꿈치 부상은 투구 도중에 발생한 염좌로 인해 수술을 받아야함"
44,2740489,#NAME?
45,445920,"- 누가: 탬파베이
- 언제: 2021년 4월
- 어디서: 피츠버그, 콜로라도, 탬파베이, 샌프란시스코, 시카고 컵스
- 어떻게: 타선이 강하고 상대팀 투수가 약하면 많은 득점이 나올 수 있음
- 왜: 팀의 타선과 상대 투수의 약점이 일어나서"
46,3761028,#NAME?
47,755477,#NAME?
48,67395,#NAME?
49,250213,#NAME?
50,6997464,#NAME?
51,14135566,#NAME?
52,3385550,#NAME?
53,14138458,#NAME?
54,760268,#NAME?
55,4044794,#NAME?
56,4044766,#NAME?
57,6994298,"- 누가: 한국, 미국, 일본 세 국가
- 언제: 2019년 3월 28일
- 어디서: 용산 대통령실 청사
- 어떻게: 일 한미일 캠프데이비드 회의는 한국, 미국, 일본 정상들이 모여 동맹 강화와 안보 협력을 논의하기 위해 진행됨
- 왜: 한미일 캠프데이비드 회의는 지역 안보와 협력 강화를 위해"
58,3802550,#NAME?
59,2184488,"- 누가: 각각의 국가의 정상, 즉 대통령
- 언제: 30일
- 어디서: 일본의 히로시마
- 어떻게: 한미일 정상회의는 윤석열 대통령이 조 바이든 미국 대통령과 기시다 후미오 일본 총리와 환담을 진행한 후에 개최
- 왜: 한미일 정상회의는 한국, 미국, 일본 세 국가의 정상들이 모여 협력과 관계 강화를 논의하기 위해"
60,3243025,"- 누가: 조선일보 편집국이었다고 밝혔음
- 언제: 2009년
- 어디서: 인터넷뉴스 포털과 조선일보
- 어떻게: 모니터링한 것일 뿐 지시, 작성, 관리 등 관여하지 않았음
- 왜: 정부 비판 보도를 관리하기 위해"
61,3648137,#NAME?
62,1628464,#NAME?
63,58153,#NAME?
64,3174996,"- 누가: 영수와 영식
- 언제: 기
- 어디서: 기'
- 어떻게: 분명히 이야기하고 싶지 않아서
- 왜: 애로 사항으로 인해 사별하게"
65,760368,"- 누가: 한효주와 조인성
- 언제: 영화나 드라마의 제목이 아닌 것으로 알려져 있지 않음
- 어디서: 미국
- 어떻게: 디즈니의 오리지널 시리즈 ""무빙""은 디즈니가 직접 제작한 드라마 시리즈
- 왜: 무빙은 디즈니의 오리지널 시리즈로, 두 주인공의 로맨스를 다루는 드라마"
66,954585,#NAME?
67,12035179,#NAME?
68,623690,#NAME?
69,197958,"- 누가: 오민우 준위
- 언제: 시즌 2
- 어디서: '육하원칙'
- 어떻게: 캐릭터의 특징과 감정을 완벽하게 이해하고 그에 맞는 연기를함
- 왜: 신체적인 훈련과 노력 덕분에 발차기를 잘하는 것 같아"
70,760275,#NAME?
71,830987,#NAME?
72,14135494,#NAME?
73,971533,#NAME?
74,3301215,#NAME?
75,1628443,#NAME?
76,1069525,#NAME?
77,3648159,#NAME?
78,4925713,#NAME?
79,2588722,#NAME?
80,3126919,#NAME?
81,4926266,#NAME?
82,2819751,#NAME?
83,830960,"- 누가: 감사원
- 언제: 2022년 10월 1일
- 어디서: 해창갯벌
- 어떻게: 새만금 잼버리 파행 감사는 새만금 잼버리 부지 확보를 명분으로 여의도 면적의 배에 달하는 땅을 매립한 것에 대한 감사를 수행하기 위해 시작
- 왜: 새만금 잼버리 파행 감사는 새만금 잼버리의 건설과 운영 과정에서의 문제점을 파악하기 위해"
84,2402898,#NAME?
85,5058151,#NAME?
86,5552865,#NAME?
87,12035383,#NAME?
88,12028990,"- 누가: 삼성화재
- 언제: 일
- 어디서: 경북 구미 박정희체육관
- 어떻게: 삼성화재는 구미도드람컵 프로배구대회 남자부 결승에서 세트점수 2-3으로 져 준우승을 차지함
- 왜: 삼성화재가 세트점수로 져서 준우승에 머물렀음"
89,3552336,육하원칙 요약
90,5270065,육하원칙 요약
91,5270064,육하원칙 요약
92,5270030,육하원칙 요약
93,3346344,육하원칙 요약
94,3283607,육하원칙 요약
95,4310991,육하원칙 요약
96,5153781,육하원칙 요약
97,12417774,육하원칙 요약
98,3872108,육하원칙 요약
99,3872109,육하원칙 요약
100,5153805,육하원칙 요약
101,6994365,육하원칙 요약
102,1119727,육하원칙 요약
103,942594,육하원칙 요약
104,2154667,육하원칙 요약
105,3803166,육하원칙 요약
106,26586,육하원칙 요약
107,30123,육하원칙 요약
108,2184456,육하원칙 요약
109,12038479,육하원칙 요약
110,6994393,육하원칙 요약
111,4910074,육하원칙 요약
112,3301223,육하원칙 요약
113,2740921,육하원칙 요약
114,3648489,육하원칙 요약
115,50916,육하원칙 요약
116,2819988,육하원칙 요약
117,3761762,육하원칙 요약
118,907199,육하원칙 요약
119,14138652,육하원칙 요약
120,5058807,육하원칙 요약
121,624000,육하원칙 요약
122,5301636,육하원칙 요약
123,3761793,육하원칙 요약
124,2154792,육하원칙 요약
125,5160857,육하원칙 요약
126,651532,육하원칙 요약
127,5160858,육하원칙 요약
128,3349404,육하원칙 요약
129,4317673,육하원칙 요약
130,7432788,육하원칙 요약
131,5016177,육하원칙 요약
132,5396411,육하원칙 요약
133,3286455,육하원칙 요약
134,3877363,육하원칙 요약
135,12553065,육하원칙 요약
136,14694121,육하원칙 요약
137,5160856,육하원칙 요약
138,2741025,육하원칙 요약
139,766337,육하원칙 요약
140,198133,육하원칙 요약
141,4045390,육하원칙 요약
142,942967,육하원칙 요약
143,6994358,육하원칙 요약
144,14138704,육하원칙 요약
145,3243453,육하원칙 요약
146,42864,육하원칙 요약
147,1464,육하원칙 요약
148,14138871,육하원칙 요약
149,907546,육하원칙 요약
150,760261,육하원칙 요약
151,624001,육하원칙 요약
152,1629163,육하원칙 요약
153,972027,육하원칙 요약
154,3761185,육하원칙 요약
155,3385507,육하원칙 요약
156,6997471,육하원칙 요약
157,14138866,육하원칙 요약
158,2184283,육하원칙 요약
159,50917,육하원칙 요약
160,6997070,육하원칙 요약
161,2185221,육하원칙 요약
162,1267121,육하원칙 요약
163,3845888,육하원칙 요약
164,6997408,육하원칙 요약
165,7547163,육하원칙 요약
166,7547374,육하원칙 요약
167,3896296,육하원칙 요약
168,12552991,육하원칙 요약
169,14694207,육하원칙 요약
170,1696905,육하원칙 요약
171,660436,육하원칙 요약
172,660450,육하원칙 요약
173,14694165,육하원칙 요약
174,14694269,육하원칙 요약
175,7546657,육하원칙 요약
176,14694115,육하원칙 요약
177,5219686,육하원칙 요약
178,5451749,육하원칙 요약
179,1832441,육하원칙 요약
180,5341784,육하원칙 요약
